test_id,reference_int,reference_hex,hw_hex,hw_int,abs_error_int,rel_error,squared_error,exact_match
0,-56,FFC8,FFC8,-56,0,0.0,0,1
1,-55,FFC9,FFC9,-55,0,0.0,0,1
2,-148,FF6C,FF6C,-148,0,0.0,0,1
3,-30,FFE2,FFE2,-30,0,0.0,0,1
4,-21,FFEB,FFEB,-21,0,0.0,0,1
5,77,004D,004D,77,0,0.0,0,1
6,15,000F,000F,15,0,0.0,0,1
7,-95,FFA1,FFA1,-95,0,0.0,0,1
8,-71,FFB9,FFB9,-71,0,0.0,0,1
9,62,003E,003E,62,0,0.0,0,1
10,94,005E,005E,94,0,0.0,0,1
11,-19,FFED,FFED,-19,0,0.0,0,1
12,-54,FFCA,FFCA,-54,0,0.0,0,1
13,173,00AD,00AD,173,0,0.0,0,1
14,18,0012,0012,18,0,0.0,0,1
15,46,002E,002E,46,0,0.0,0,1
16,13,000D,000D,13,0,0.0,0,1
17,1,0001,0001,1,0,0.0,0,1
18,167,00A7,00A7,167,0,0.0,0,1
19,96,0060,0060,96,0,0.0,0,1
20,100,0064,0064,100,0,0.0,0,1
21,51,0033,0033,51,0,0.0,0,1
22,-55,FFC9,FFC9,-55,0,0.0,0,1
23,-117,FF8B,FF8B,-117,0,0.0,0,1
24,72,0048,0048,72,0,0.0,0,1
25,-48,FFD0,FFD0,-48,0,0.0,0,1
26,-14,FFF2,FFF2,-14,0,0.0,0,1
27,-18,FFEE,FFEE,-18,0,0.0,0,1
28,97,0061,0061,97,0,0.0,0,1
29,-21,FFEB,FFEB,-21,0,0.0,0,1
30,55,0037,0037,55,0,0.0,0,1
31,142,008E,008E,142,0,0.0,0,1
32,106,006A,006A,106,0,0.0,0,1
33,17,0011,0011,17,0,0.0,0,1
34,41,0029,0029,41,0,0.0,0,1
35,-53,FFCB,FFCB,-53,0,0.0,0,1
36,14,000E,000E,14,0,0.0,0,1
37,201,00C9,00C9,201,0,0.0,0,1
38,18,0012,0012,18,0,0.0,0,1
39,38,0026,0026,38,0,0.0,0,1
40,49,0031,0031,49,0,0.0,0,1
41,-102,FF9A,FF9A,-102,0,0.0,0,1
42,-71,FFB9,FFB9,-71,0,0.0,0,1
43,47,002F,002F,47,0,0.0,0,1
44,-93,FFA3,FFA3,-93,0,0.0,0,1
45,32,0020,0020,32,0,0.0,0,1
46,-178,FF4E,FF4E,-178,0,0.0,0,1
47,141,008D,008D,141,0,0.0,0,1
48,51,0033,0033,51,0,0.0,0,1
49,-19,FFED,FFED,-19,0,0.0,0,1
50,222,00DE,00DE,222,0,0.0,0,1
51,73,0049,0049,73,0,0.0,0,1
52,-145,FF6F,FF6F,-145,0,0.0,0,1
53,150,0096,0096,150,0,0.0,0,1
54,-21,FFEB,FFEB,-21,0,0.0,0,1
55,13,000D,000D,13,0,0.0,0,1
56,-24,FFE8,FFE8,-24,0,0.0,0,1
57,-37,FFDB,FFDB,-37,0,0.0,0,1
58,49,0031,0031,49,0,0.0,0,1
59,-36,FFDC,FFDC,-36,0,0.0,0,1
60,-147,FF6D,FF6D,-147,0,0.0,0,1
61,-106,FF96,FF96,-106,0,0.0,0,1
62,43,002B,002B,43,0,0.0,0,1
63,-186,FF46,FF46,-186,0,0.0,0,1
64,-113,FF8F,FF8F,-113,0,0.0,0,1
65,36,0024,0024,36,0,0.0,0,1
66,-101,FF9B,FF9B,-101,0,0.0,0,1
67,217,00D9,00D9,217,0,0.0,0,1
68,-53,FFCB,FFCB,-53,0,0.0,0,1
69,-63,FFC1,FFC1,-63,0,0.0,0,1
70,70,0046,0046,70,0,0.0,0,1
71,-61,FFC3,FFC3,-61,0,0.0,0,1
72,10,000A,000A,10,0,0.0,0,1
73,-90,FFA6,FFA6,-90,0,0.0,0,1
74,-4,FFFC,FFFC,-4,0,0.0,0,1
75,-52,FFCC,FFCC,-52,0,0.0,0,1
76,-80,FFB0,FFB0,-80,0,0.0,0,1
77,82,0052,0052,82,0,0.0,0,1
78,35,0023,0023,35,0,0.0,0,1
79,14,000E,000E,14,0,0.0,0,1
80,82,0052,0052,82,0,0.0,0,1
81,-36,FFDC,FFDC,-36,0,0.0,0,1
82,-54,FFCA,FFCA,-54,0,0.0,0,1
83,-13,FFF3,FFF3,-13,0,0.0,0,1
84,64,0040,0040,64,0,0.0,0,1
85,45,002D,002D,45,0,0.0,0,1
86,-29,FFE3,FFE3,-29,0,0.0,0,1
87,-17,FFEF,FFEF,-17,0,0.0,0,1
88,-33,FFDF,FFDF,-33,0,0.0,0,1
89,47,002F,002F,47,0,0.0,0,1
90,72,0048,0048,72,0,0.0,0,1
91,-155,FF65,FF65,-155,0,0.0,0,1
92,72,0048,0048,72,0,0.0,0,1
93,7,0007,0007,7,0,0.0,0,1
94,-5,FFFB,FFFB,-5,0,0.0,0,1
95,197,00C5,00C5,197,0,0.0,0,1
96,-140,FF74,FF74,-140,0,0.0,0,1
97,0,0000,0000,0,0,0.0,0,1
98,96,0060,0060,96,0,0.0,0,1
99,69,0045,0045,69,0,0.0,0,1
100,118,0076,0076,118,0,0.0,0,1
101,114,0072,0072,114,0,0.0,0,1
102,16,0010,0010,16,0,0.0,0,1
103,209,00D1,00D1,209,0,0.0,0,1
104,12,000C,000C,12,0,0.0,0,1
105,38,0026,0026,38,0,0.0,0,1
106,-141,FF73,FF73,-141,0,0.0,0,1
107,-101,FF9B,FF9B,-101,0,0.0,0,1
108,164,00A4,00A4,164,0,0.0,0,1
109,-66,FFBE,FFBE,-66,0,0.0,0,1
110,68,0044,0044,68,0,0.0,0,1
111,-28,FFE4,FFE4,-28,0,0.0,0,1
112,-78,FFB2,FFB2,-78,0,0.0,0,1
113,13,000D,000D,13,0,0.0,0,1
114,62,003E,003E,62,0,0.0,0,1
115,-60,FFC4,FFC4,-60,0,0.0,0,1
116,128,0080,0080,128,0,0.0,0,1
117,18,0012,0012,18,0,0.0,0,1
118,-35,FFDD,FFDD,-35,0,0.0,0,1
119,-7,FFF9,FFF9,-7,0,0.0,0,1
120,248,00F8,00F8,248,0,0.0,0,1
121,-2,FFFE,FFFE,-2,0,0.0,0,1
122,140,008C,008C,140,0,0.0,0,1
123,-22,FFEA,FFEA,-22,0,0.0,0,1
124,-92,FFA4,FFA4,-92,0,0.0,0,1
125,-155,FF65,FF65,-155,0,0.0,0,1
126,6,0006,0006,6,0,0.0,0,1
127,-45,FFD3,FFD3,-45,0,0.0,0,1
128,-43,FFD5,FFD5,-43,0,0.0,0,1
129,-86,FFAA,FFAA,-86,0,0.0,0,1
130,-117,FF8B,FF8B,-117,0,0.0,0,1
131,56,0038,0038,56,0,0.0,0,1
132,-3,FFFD,FFFD,-3,0,0.0,0,1
133,-116,FF8C,FF8C,-116,0,0.0,0,1
134,-46,FFD2,FFD2,-46,0,0.0,0,1
135,29,001D,001D,29,0,0.0,0,1
136,-78,FFB2,FFB2,-78,0,0.0,0,1
137,15,000F,000F,15,0,0.0,0,1
138,-1,FFFF,FFFF,-1,0,0.0,0,1
139,-66,FFBE,FFBE,-66,0,0.0,0,1
140,209,00D1,00D1,209,0,0.0,0,1
141,-16,FFF0,FFF0,-16,0,0.0,0,1
142,45,002D,002D,45,0,0.0,0,1
143,78,004E,004E,78,0,0.0,0,1
144,-31,FFE1,FFE1,-31,0,0.0,0,1
145,-20,FFEC,FFEC,-20,0,0.0,0,1
146,50,0032,0032,50,0,0.0,0,1
147,95,005F,005F,95,0,0.0,0,1
148,-156,FF64,FF64,-156,0,0.0,0,1
149,-164,FF5C,FF5C,-164,0,0.0,0,1
150,-29,FFE3,FFE3,-29,0,0.0,0,1
151,84,0054,0054,84,0,0.0,0,1
152,3,0003,0003,3,0,0.0,0,1
153,-42,FFD6,FFD6,-42,0,0.0,0,1
154,42,002A,002A,42,0,0.0,0,1
155,-269,FEF3,FEF3,-269,0,0.0,0,1
156,58,003A,003A,58,0,0.0,0,1
157,32,0020,0020,32,0,0.0,0,1
158,-149,FF6B,FF6B,-149,0,0.0,0,1
159,-122,FF86,FF86,-122,0,0.0,0,1
160,138,008A,008A,138,0,0.0,0,1
161,-142,FF72,FF72,-142,0,0.0,0,1
162,-2,FFFE,FFFE,-2,0,0.0,0,1
163,-130,FF7E,FF7E,-130,0,0.0,0,1
164,49,0031,0031,49,0,0.0,0,1
165,52,0034,0034,52,0,0.0,0,1
166,80,0050,0050,80,0,0.0,0,1
167,276,0114,0114,276,0,0.0,0,1
168,-144,FF70,FF70,-144,0,0.0,0,1
169,-127,FF81,FF81,-127,0,0.0,0,1
170,-55,FFC9,FFC9,-55,0,0.0,0,1
171,76,004C,004C,76,0,0.0,0,1
172,-186,FF46,FF46,-186,0,0.0,0,1
173,-103,FF99,FF99,-103,0,0.0,0,1
174,71,0047,0047,71,0,0.0,0,1
175,-105,FF97,FF97,-105,0,0.0,0,1
176,-76,FFB4,FFB4,-76,0,0.0,0,1
177,3,0003,0003,3,0,0.0,0,1
178,98,0062,0062,98,0,0.0,0,1
179,299,012B,012B,299,0,0.0,0,1
180,104,0068,0068,104,0,0.0,0,1
181,146,0092,0092,146,0,0.0,0,1
182,-40,FFD8,FFD8,-40,0,0.0,0,1
183,63,003F,003F,63,0,0.0,0,1
184,-10,FFF6,FFF6,-10,0,0.0,0,1
185,-44,FFD4,FFD4,-44,0,0.0,0,1
186,65,0041,0041,65,0,0.0,0,1
187,-28,FFE4,FFE4,-28,0,0.0,0,1
188,-20,FFEC,FFEC,-20,0,0.0,0,1
189,-15,FFF1,FFF1,-15,0,0.0,0,1
190,-82,FFAE,FFAE,-82,0,0.0,0,1
191,27,001B,001B,27,0,0.0,0,1
192,230,00E6,00E6,230,0,0.0,0,1
193,26,001A,001A,26,0,0.0,0,1
194,97,0061,0061,97,0,0.0,0,1
195,-99,FF9D,FF9D,-99,0,0.0,0,1
196,-56,FFC8,FFC8,-56,0,0.0,0,1
197,38,0026,0026,38,0,0.0,0,1
198,-117,FF8B,FF8B,-117,0,0.0,0,1
199,38,0026,0026,38,0,0.0,0,1
200,-51,FFCD,FFCD,-51,0,0.0,0,1
201,98,0062,0062,98,0,0.0,0,1
202,88,0058,0058,88,0,0.0,0,1
203,-25,FFE7,FFE7,-25,0,0.0,0,1
204,-52,FFCC,FFCC,-52,0,0.0,0,1
205,5,0005,0005,5,0,0.0,0,1
206,-17,FFEF,FFEF,-17,0,0.0,0,1
207,-49,FFCF,FFCF,-49,0,0.0,0,1
208,-81,FFAF,FFAF,-81,0,0.0,0,1
209,45,002D,002D,45,0,0.0,0,1
210,-56,FFC8,FFC8,-56,0,0.0,0,1
211,-61,FFC3,FFC3,-61,0,0.0,0,1
212,70,0046,0046,70,0,0.0,0,1
213,41,0029,0029,41,0,0.0,0,1
214,-37,FFDB,FFDB,-37,0,0.0,0,1
215,41,0029,0029,41,0,0.0,0,1
216,-11,FFF5,FFF5,-11,0,0.0,0,1
217,-78,FFB2,FFB2,-78,0,0.0,0,1
218,-132,FF7C,FF7C,-132,0,0.0,0,1
219,173,00AD,00AD,173,0,0.0,0,1
220,24,0018,0018,24,0,0.0,0,1
221,-19,FFED,FFED,-19,0,0.0,0,1
222,83,0053,0053,83,0,0.0,0,1
223,-109,FF93,FF93,-109,0,0.0,0,1
224,-217,FF27,FF27,-217,0,0.0,0,1
225,-38,FFDA,FFDA,-38,0,0.0,0,1
226,-230,FF1A,FF1A,-230,0,0.0,0,1
227,-27,FFE5,FFE5,-27,0,0.0,0,1
228,-121,FF87,FF87,-121,0,0.0,0,1
229,-90,FFA6,FFA6,-90,0,0.0,0,1
230,22,0016,0016,22,0,0.0,0,1
231,-172,FF54,FF54,-172,0,0.0,0,1
232,71,0047,0047,71,0,0.0,0,1
233,-151,FF69,FF69,-151,0,0.0,0,1
234,113,0071,0071,113,0,0.0,0,1
235,-1,FFFF,FFFF,-1,0,0.0,0,1
236,-112,FF90,FF90,-112,0,0.0,0,1
237,-104,FF98,FF98,-104,0,0.0,0,1
238,19,0013,0013,19,0,0.0,0,1
239,56,0038,0038,56,0,0.0,0,1
240,153,0099,0099,153,0,0.0,0,1
241,-10,FFF6,FFF6,-10,0,0.0,0,1
242,93,005D,005D,93,0,0.0,0,1
243,-24,FFE8,FFE8,-24,0,0.0,0,1
244,46,002E,002E,46,0,0.0,0,1
245,-30,FFE2,FFE2,-30,0,0.0,0,1
246,89,0059,0059,89,0,0.0,0,1
247,85,0055,0055,85,0,0.0,0,1
248,121,0079,0079,121,0,0.0,0,1
249,182,00B6,00B6,182,0,0.0,0,1
250,-34,FFDE,FFDE,-34,0,0.0,0,1
251,8,0008,0008,8,0,0.0,0,1
252,-108,FF94,FF94,-108,0,0.0,0,1
253,64,0040,0040,64,0,0.0,0,1
254,-214,FF2A,FF2A,-214,0,0.0,0,1
255,81,0051,0051,81,0,0.0,0,1
256,-116,FF8C,FF8C,-116,0,0.0,0,1
257,0,0000,0000,0,0,0.0,0,1
258,-69,FFBB,FFBB,-69,0,0.0,0,1
259,-100,FF9C,FF9C,-100,0,0.0,0,1
260,-28,FFE4,FFE4,-28,0,0.0,0,1
261,-81,FFAF,FFAF,-81,0,0.0,0,1
262,-172,FF54,FF54,-172,0,0.0,0,1
263,-79,FFB1,FFB1,-79,0,0.0,0,1
264,115,0073,0073,115,0,0.0,0,1
265,-97,FF9F,FF9F,-97,0,0.0,0,1
266,-128,FF80,FF80,-128,0,0.0,0,1
267,-149,FF6B,FF6B,-149,0,0.0,0,1
268,32,0020,0020,32,0,0.0,0,1
269,9,0009,0009,9,0,0.0,0,1
270,-25,FFE7,FFE7,-25,0,0.0,0,1
271,-4,FFFC,FFFC,-4,0,0.0,0,1
272,-3,FFFD,FFFD,-3,0,0.0,0,1
273,-5,FFFB,FFFB,-5,0,0.0,0,1
274,-31,FFE1,FFE1,-31,0,0.0,0,1
275,-129,FF7F,FF7F,-129,0,0.0,0,1
276,77,004D,004D,77,0,0.0,0,1
277,-11,FFF5,FFF5,-11,0,0.0,0,1
278,139,008B,008B,139,0,0.0,0,1
279,-7,FFF9,FFF9,-7,0,0.0,0,1
280,86,0056,0056,86,0,0.0,0,1
281,92,005C,005C,92,0,0.0,0,1
282,43,002B,002B,43,0,0.0,0,1
283,200,00C8,00C8,200,0,0.0,0,1
284,-11,FFF5,FFF5,-11,0,0.0,0,1
285,-136,FF78,FF78,-136,0,0.0,0,1
286,-26,FFE6,FFE6,-26,0,0.0,0,1
287,-30,FFE2,FFE2,-30,0,0.0,0,1
288,-89,FFA7,FFA7,-89,0,0.0,0,1
289,-54,FFCA,FFCA,-54,0,0.0,0,1
290,17,0011,0011,17,0,0.0,0,1
291,-56,FFC8,FFC8,-56,0,0.0,0,1
292,73,0049,0049,73,0,0.0,0,1
293,14,000E,000E,14,0,0.0,0,1
294,62,003E,003E,62,0,0.0,0,1
295,-48,FFD0,FFD0,-48,0,0.0,0,1
296,-111,FF91,FF91,-111,0,0.0,0,1
297,-171,FF55,FF55,-171,0,0.0,0,1
298,23,0017,0017,23,0,0.0,0,1
299,-169,FF57,FF57,-169,0,0.0,0,1
300,-61,FFC3,FFC3,-61,0,0.0,0,1
301,-13,FFF3,FFF3,-13,0,0.0,0,1
302,-110,FF92,FF92,-110,0,0.0,0,1
303,-13,FFF3,FFF3,-13,0,0.0,0,1
304,9,0009,0009,9,0,0.0,0,1
305,-22,FFEA,FFEA,-22,0,0.0,0,1
306,-23,FFE9,FFE9,-23,0,0.0,0,1
307,-36,FFDC,FFDC,-36,0,0.0,0,1
308,9,0009,0009,9,0,0.0,0,1
309,6,0006,0006,6,0,0.0,0,1
310,177,00B1,00B1,177,0,0.0,0,1
311,-131,FF7D,FF7D,-131,0,0.0,0,1
312,-88,FFA8,FFA8,-88,0,0.0,0,1
313,13,000D,000D,13,0,0.0,0,1
314,-14,FFF2,FFF2,-14,0,0.0,0,1
315,-91,FFA5,FFA5,-91,0,0.0,0,1
316,5,0005,0005,5,0,0.0,0,1
317,-134,FF7A,FF7A,-134,0,0.0,0,1
318,33,0021,0021,33,0,0.0,0,1
319,-46,FFD2,FFD2,-46,0,0.0,0,1
320,151,0097,0097,151,0,0.0,0,1
321,63,003F,003F,63,0,0.0,0,1
322,-64,FFC0,FFC0,-64,0,0.0,0,1
323,34,0022,0022,34,0,0.0,0,1
324,26,001A,001A,26,0,0.0,0,1
325,-51,FFCD,FFCD,-51,0,0.0,0,1
326,-28,FFE4,FFE4,-28,0,0.0,0,1
327,-152,FF68,FF68,-152,0,0.0,0,1
328,48,0030,0030,48,0,0.0,0,1
329,2,0002,0002,2,0,0.0,0,1
330,-31,FFE1,FFE1,-31,0,0.0,0,1
331,-18,FFEE,FFEE,-18,0,0.0,0,1
332,113,0071,0071,113,0,0.0,0,1
333,-32,FFE0,FFE0,-32,0,0.0,0,1
334,34,0022,0022,34,0,0.0,0,1
335,-107,FF95,FF95,-107,0,0.0,0,1
336,113,0071,0071,113,0,0.0,0,1
337,15,000F,000F,15,0,0.0,0,1
338,109,006D,006D,109,0,0.0,0,1
339,89,0059,0059,89,0,0.0,0,1
340,95,005F,005F,95,0,0.0,0,1
341,-121,FF87,FF87,-121,0,0.0,0,1
342,-79,FFB1,FFB1,-79,0,0.0,0,1
343,76,004C,004C,76,0,0.0,0,1
344,15,000F,000F,15,0,0.0,0,1
345,-158,FF62,FF62,-158,0,0.0,0,1
346,-142,FF72,FF72,-142,0,0.0,0,1
347,-95,FFA1,FFA1,-95,0,0.0,0,1
348,18,0012,0012,18,0,0.0,0,1
349,-28,FFE4,FFE4,-28,0,0.0,0,1
350,-18,FFEE,FFEE,-18,0,0.0,0,1
351,-101,FF9B,FF9B,-101,0,0.0,0,1
352,-21,FFEB,FFEB,-21,0,0.0,0,1
353,-57,FFC7,FFC7,-57,0,0.0,0,1
354,52,0034,0034,52,0,0.0,0,1
355,59,003B,003B,59,0,0.0,0,1
356,-82,FFAE,FFAE,-82,0,0.0,0,1
357,16,0010,0010,16,0,0.0,0,1
358,-43,FFD5,FFD5,-43,0,0.0,0,1
359,85,0055,0055,85,0,0.0,0,1
360,-36,FFDC,FFDC,-36,0,0.0,0,1
361,-27,FFE5,FFE5,-27,0,0.0,0,1
362,138,008A,008A,138,0,0.0,0,1
363,86,0056,0056,86,0,0.0,0,1
364,-75,FFB5,FFB5,-75,0,0.0,0,1
365,-174,FF52,FF52,-174,0,0.0,0,1
366,-46,FFD2,FFD2,-46,0,0.0,0,1
367,257,0101,0101,257,0,0.0,0,1
368,147,0093,0093,147,0,0.0,0,1
369,44,002C,002C,44,0,0.0,0,1
370,46,002E,002E,46,0,0.0,0,1
371,-105,FF97,FF97,-105,0,0.0,0,1
372,-22,FFEA,FFEA,-22,0,0.0,0,1
373,46,002E,002E,46,0,0.0,0,1
374,201,00C9,00C9,201,0,0.0,0,1
375,73,0049,0049,73,0,0.0,0,1
376,132,0084,0084,132,0,0.0,0,1
377,96,0060,0060,96,0,0.0,0,1
378,-98,FF9E,FF9E,-98,0,0.0,0,1
379,171,00AB,00AB,171,0,0.0,0,1
380,-44,FFD4,FFD4,-44,0,0.0,0,1
381,17,0011,0011,17,0,0.0,0,1
382,39,0027,0027,39,0,0.0,0,1
383,9,0009,0009,9,0,0.0,0,1
384,-137,FF77,FF77,-137,0,0.0,0,1
385,15,000F,000F,15,0,0.0,0,1
386,-85,FFAB,FFAB,-85,0,0.0,0,1
387,86,0056,0056,86,0,0.0,0,1
388,-6,FFFA,FFFA,-6,0,0.0,0,1
389,121,0079,0079,121,0,0.0,0,1
390,-145,FF6F,FF6F,-145,0,0.0,0,1
391,-26,FFE6,FFE6,-26,0,0.0,0,1
392,37,0025,0025,37,0,0.0,0,1
393,-120,FF88,FF88,-120,0,0.0,0,1
394,-9,FFF7,FFF7,-9,0,0.0,0,1
395,-103,FF99,FF99,-103,0,0.0,0,1
396,-133,FF7B,FF7B,-133,0,0.0,0,1
397,1,0001,0001,1,0,0.0,0,1
398,51,0033,0033,51,0,0.0,0,1
399,49,0031,0031,49,0,0.0,0,1
400,-137,FF77,FF77,-137,0,0.0,0,1
401,27,001B,001B,27,0,0.0,0,1
402,137,0089,0089,137,0,0.0,0,1
403,42,002A,002A,42,0,0.0,0,1
404,19,0013,0013,19,0,0.0,0,1
405,-127,FF81,FF81,-127,0,0.0,0,1
406,-172,FF54,FF54,-172,0,0.0,0,1
407,-1,FFFF,FFFF,-1,0,0.0,0,1
408,158,009E,009E,158,0,0.0,0,1
409,-5,FFFB,FFFB,-5,0,0.0,0,1
410,-35,FFDD,FFDD,-35,0,0.0,0,1
411,51,0033,0033,51,0,0.0,0,1
412,86,0056,0056,86,0,0.0,0,1
413,29,001D,001D,29,0,0.0,0,1
414,88,0058,0058,88,0,0.0,0,1
415,-38,FFDA,FFDA,-38,0,0.0,0,1
416,30,001E,001E,30,0,0.0,0,1
417,29,001D,001D,29,0,0.0,0,1
418,-31,FFE1,FFE1,-31,0,0.0,0,1
419,-67,FFBD,FFBD,-67,0,0.0,0,1
420,70,0046,0046,70,0,0.0,0,1
421,46,002E,002E,46,0,0.0,0,1
422,-28,FFE4,FFE4,-28,0,0.0,0,1
423,-90,FFA6,FFA6,-90,0,0.0,0,1
424,129,0081,0081,129,0,0.0,0,1
425,-205,FF33,FF33,-205,0,0.0,0,1
426,-110,FF92,FF92,-110,0,0.0,0,1
427,29,001D,001D,29,0,0.0,0,1
428,88,0058,0058,88,0,0.0,0,1
429,-57,FFC7,FFC7,-57,0,0.0,0,1
430,-233,FF17,FF17,-233,0,0.0,0,1
431,8,0008,0008,8,0,0.0,0,1
432,-11,FFF5,FFF5,-11,0,0.0,0,1
433,1,0001,0001,1,0,0.0,0,1
434,60,003C,003C,60,0,0.0,0,1
435,-83,FFAD,FFAD,-83,0,0.0,0,1
436,115,0073,0073,115,0,0.0,0,1
437,-7,FFF9,FFF9,-7,0,0.0,0,1
438,-20,FFEC,FFEC,-20,0,0.0,0,1
439,-64,FFC0,FFC0,-64,0,0.0,0,1
440,25,0019,0019,25,0,0.0,0,1
441,-106,FF96,FF96,-106,0,0.0,0,1
442,100,0064,0064,100,0,0.0,0,1
443,-83,FFAD,FFAD,-83,0,0.0,0,1
444,-91,FFA5,FFA5,-91,0,0.0,0,1
445,186,00BA,00BA,186,0,0.0,0,1
446,-87,FFA9,FFA9,-87,0,0.0,0,1
447,-57,FFC7,FFC7,-57,0,0.0,0,1
448,151,0097,0097,151,0,0.0,0,1
449,55,0037,0037,55,0,0.0,0,1
450,-85,FFAB,FFAB,-85,0,0.0,0,1
451,27,001B,001B,27,0,0.0,0,1
452,178,00B2,00B2,178,0,0.0,0,1
453,-80,FFB0,FFB0,-80,0,0.0,0,1
454,-21,FFEB,FFEB,-21,0,0.0,0,1
455,-132,FF7C,FF7C,-132,0,0.0,0,1
456,-89,FFA7,FFA7,-89,0,0.0,0,1
457,9,0009,0009,9,0,0.0,0,1
458,121,0079,0079,121,0,0.0,0,1
459,-96,FFA0,FFA0,-96,0,0.0,0,1
460,143,008F,008F,143,0,0.0,0,1
461,-27,FFE5,FFE5,-27,0,0.0,0,1
462,154,009A,009A,154,0,0.0,0,1
463,74,004A,004A,74,0,0.0,0,1
464,-12,FFF4,FFF4,-12,0,0.0,0,1
465,50,0032,0032,50,0,0.0,0,1
466,-47,FFD1,FFD1,-47,0,0.0,0,1
467,-55,FFC9,FFC9,-55,0,0.0,0,1
468,96,0060,0060,96,0,0.0,0,1
469,18,0012,0012,18,0,0.0,0,1
470,93,005D,005D,93,0,0.0,0,1
471,87,0057,0057,87,0,0.0,0,1
472,3,0003,0003,3,0,0.0,0,1
473,205,00CD,00CD,205,0,0.0,0,1
474,-87,FFA9,FFA9,-87,0,0.0,0,1
475,152,0098,0098,152,0,0.0,0,1
476,-11,FFF5,FFF5,-11,0,0.0,0,1
477,-65,FFBF,FFBF,-65,0,0.0,0,1
478,-60,FFC4,FFC4,-60,0,0.0,0,1
479,-78,FFB2,FFB2,-78,0,0.0,0,1
480,-163,FF5D,FF5D,-163,0,0.0,0,1
481,-17,FFEF,FFEF,-17,0,0.0,0,1
482,48,0030,0030,48,0,0.0,0,1
483,34,0022,0022,34,0,0.0,0,1
484,-106,FF96,FF96,-106,0,0.0,0,1
485,19,0013,0013,19,0,0.0,0,1
486,-76,FFB4,FFB4,-76,0,0.0,0,1
487,-4,FFFC,FFFC,-4,0,0.0,0,1
488,133,0085,0085,133,0,0.0,0,1
489,-77,FFB3,FFB3,-77,0,0.0,0,1
490,-107,FF95,FF95,-107,0,0.0,0,1
491,74,004A,004A,74,0,0.0,0,1
492,-78,FFB2,FFB2,-78,0,0.0,0,1
493,-120,FF88,FF88,-120,0,0.0,0,1
494,-53,FFCB,FFCB,-53,0,0.0,0,1
495,69,0045,0045,69,0,0.0,0,1
496,96,0060,0060,96,0,0.0,0,1
497,-67,FFBD,FFBD,-67,0,0.0,0,1
498,113,0071,0071,113,0,0.0,0,1
499,136,0088,0088,136,0,0.0,0,1
500,146,0092,0092,146,0,0.0,0,1
501,-65,FFBF,FFBF,-65,0,0.0,0,1
502,-122,FF86,FF86,-122,0,0.0,0,1
503,57,0039,0039,57,0,0.0,0,1
504,33,0021,0021,33,0,0.0,0,1
505,-3,FFFD,FFFD,-3,0,0.0,0,1
506,-87,FFA9,FFA9,-87,0,0.0,0,1
507,-6,FFFA,FFFA,-6,0,0.0,0,1
508,-169,FF57,FF57,-169,0,0.0,0,1
509,67,0043,0043,67,0,0.0,0,1
510,114,0072,0072,114,0,0.0,0,1
511,80,0050,0050,80,0,0.0,0,1
512,100,0064,0064,100,0,0.0,0,1
513,138,008A,008A,138,0,0.0,0,1
514,-106,FF96,FF96,-106,0,0.0,0,1
515,-56,FFC8,FFC8,-56,0,0.0,0,1
516,-86,FFAA,FFAA,-86,0,0.0,0,1
517,-10,FFF6,FFF6,-10,0,0.0,0,1
518,18,0012,0012,18,0,0.0,0,1
519,-124,FF84,FF84,-124,0,0.0,0,1
520,-152,FF68,FF68,-152,0,0.0,0,1
521,9,0009,0009,9,0,0.0,0,1
522,20,0014,0014,20,0,0.0,0,1
523,64,0040,0040,64,0,0.0,0,1
524,49,0031,0031,49,0,0.0,0,1
525,10,000A,000A,10,0,0.0,0,1
526,-100,FF9C,FF9C,-100,0,0.0,0,1
527,71,0047,0047,71,0,0.0,0,1
528,-35,FFDD,FFDD,-35,0,0.0,0,1
529,32,0020,0020,32,0,0.0,0,1
530,-42,FFD6,FFD6,-42,0,0.0,0,1
531,-41,FFD7,FFD7,-41,0,0.0,0,1
532,118,0076,0076,118,0,0.0,0,1
533,-157,FF63,FF63,-157,0,0.0,0,1
534,28,001C,001C,28,0,0.0,0,1
535,-198,FF3A,FF3A,-198,0,0.0,0,1
536,-46,FFD2,FFD2,-46,0,0.0,0,1
537,42,002A,002A,42,0,0.0,0,1
538,8,0008,0008,8,0,0.0,0,1
539,101,0065,0065,101,0,0.0,0,1
540,38,0026,0026,38,0,0.0,0,1
541,-42,FFD6,FFD6,-42,0,0.0,0,1
542,-54,FFCA,FFCA,-54,0,0.0,0,1
543,44,002C,002C,44,0,0.0,0,1
544,-139,FF75,FF75,-139,0,0.0,0,1
545,79,004F,004F,79,0,0.0,0,1
546,-73,FFB7,FFB7,-73,0,0.0,0,1
547,-32,FFE0,FFE0,-32,0,0.0,0,1
548,110,006E,006E,110,0,0.0,0,1
549,-113,FF8F,FF8F,-113,0,0.0,0,1
550,-54,FFCA,FFCA,-54,0,0.0,0,1
551,162,00A2,00A2,162,0,0.0,0,1
552,-124,FF84,FF84,-124,0,0.0,0,1
553,110,006E,006E,110,0,0.0,0,1
554,91,005B,005B,91,0,0.0,0,1
555,24,0018,0018,24,0,0.0,0,1
556,103,0067,0067,103,0,0.0,0,1
557,38,0026,0026,38,0,0.0,0,1
